check,scope,method,result,notes
branches,fedeg-umh-es/varret-pm10-paper,git fetch --all --prune + git branch -a,16 remote branches inventoried,ver repository_ref_inventory.csv
tags,fedeg-umh-es/varret-pm10-paper,git tag -l,1 tag (v1.0.0),tag apunta a un commit temprano del pipeline; no contiene los artefactos objetivo (ver detalle mas abajo)
releases,fedeg-umh-es/varret-pm10-paper,gh release list,1 release (v1.0.0 Pre-release 2026-05-14),no incluye assets adjuntos con los CSV objetivo (ver detalle)
pull_requests,fedeg-umh-es/varret-pm10-paper,"gh pr list --state all --limit 200",13 PRs listados (#1-#13); ninguno introduce variance_retention_all_stations.csv ni master_diagnostic_table.csv,"PR#11 'docs: add canonical evidence package for Paper A' es el mas relevante en apariencia, pero solo anade documentacion agregada (paper_package/paper_a/*.md,*.csv de resumen), no datos row-level; ver candidate_validation.csv"
workflow_runs,fedeg-umh-es/varret-pm10-paper,gh run list --limit 200,8 runs listados; todos completed/failure en 3-5s,runs tempranos de mayo relacionados con configuracion de CI (deps, trigger); ninguno completo un pipeline de entrenamiento/prediccion
workflow_artifacts,fedeg-umh-es/varret-pm10-paper,gh api repos/.../actions/artifacts,total_count=0,no hay artifacts subidos por CI en ningun run
code_search_variance_retention_all_stations,fedeg-umh-es/varret-pm10-paper,gh api search/code,14 archivos coinciden (solo scripts/docs que REFERENCIAN el nombre de archivo),ningun CSV real con ese nombre; solo scripts/*.py y 2 documentos de texto que lo mencionan como ruta esperada
code_search_master_diagnostic_table,fedeg-umh-es/varret-pm10-paper,gh api search/code,5 archivos coinciden (scripts que referencian el nombre),ningun CSV real; solo scripts/13_build_five_model_diagnostic_summary.py y similares
code_search_global_filename_variance_retention_all_stations.csv,GitHub global,"gh api search/code -f q=filename:variance_retention_all_stations.csv",0 resultados,el archivo no existe en ningun repositorio publico indexado por GitHub code search
code_search_global_filename_master_diagnostic_table.csv,GitHub global,"gh api search/code -f q=filename:master_diagnostic_table.csv",1 resultado irrelevante,resultado pertenece a TomasNader7/Human-Activity-Recognition-Enhanced (proyecto no relacionado; coincidencia de nombre de archivo generica)
related_repo_PM10-Horizons-Diagnostic,fedeg-umh-es/PM10-Horizons-Diagnostic,git fetch --all + busqueda en todo el historial de todas las ramas,NOT_FOUND,solo rama main; sin coincidencias de nombre de archivo
related_repo_P33_variance_collapse,fedeg-umh-es/P33_variance_collapse,git fetch --all + busqueda en todo el historial de todas las ramas,NOT_FOUND,solo rama main; sin coincidencias de nombre de archivo
related_repo_p34-variance-retention-api,fedeg-umh-es/p34-variance-retention-api,git fetch --all + busqueda en todo el historial de todas las ramas,NOT_FOUND,2 ramas (main + claude/pm10-figure-workflow-qBCXW); sin coincidencias de nombre de archivo exacto; contiene un CSV incompatible de otro proyecto (ver sesion previa / candidate_validation.csv)
related_repo_P32_IJF_GhostSkill_Hstar,fedeg-umh-es/P32_IJF_GhostSkill_Hstar,git fetch --all + busqueda en todo el historial de todas las ramas,NOT_FOUND,solo rama main; sin coincidencias de nombre de archivo
