rank,study_or_system_id,full_citation,what_it_already_does,what_P3_would_duplicate,what_P3_would_add,difference_type,operational_availability_demonstrated,retrospective_use,identical_support_between_conditions,overlap
1,P3_P2_Madrid_LEGACY,"P1/P2 E2-MET Madrid legacy line: Meteorological predictors and the useful forecast horizon (H*) for PM10","Compares lags_only with lags_meteo for Casa de Campo PM10 under rolling-origin, persistence and horizon-wise diagnostics","meteorology-versus-lags comparison; persistence-relative skill; horizon dependence; H* interpretation","a provenance-complete operational NWP condition on the frozen P3 panel, with retrospective and operational conditions separated","scientific extension if provenance is real; otherwise procedural","NO; legacy availability contract explicitly says not certified operational","YES; concurrent/retrospective meteorology","PARTIAL; legacy support differs from current P3 panel","HIGH"
2,P3_P2_Ireland_LEGACY,"P1/P2 E2-MET Ireland legacy line: multi-station meteorology versus lags-only PM10","Compares lags_only and lags_meteo across eight Irish stations and 1--24 h horizons","multi-station meteorological increment; persistence baseline; horizon-wise interpretation; regime contrast","same-support three-condition comparison with a genuine origin-available forecast product and secondary fidelity/event interpretation","scientific extension if operational condition changes conclusion; otherwise overlap","NO; source/latency not verified","YES; retrospective concurrent meteorology","PARTIAL","HIGH"
3,E01,"Bertrand et al. 2023, Improving the European air quality forecast of CAMS using machine learning techniques","Operational CAMS air-quality forecasting and ML correction across a large European station/grid context","operational air-quality forecasting with meteorological/system predictors","a controlled incremental-value comparison among lags_only, retrospective and origin-available meteorology on identical station-origin-horizon keys","scientific comparison rather than system construction","YES for CAMS system; not predictor-level P3 provenance","UNKNOWN/PARTIAL","NO","HIGH"
4,E02,"Huang et al. 2017, Improving NOAA NAQFC PM2.5 Predictions with a Bias Correction Approach","Operational PM2.5 forecast guidance with bias correction and diagnostics of variability/extreme events","operational AQ verification and accuracy-versus-behaviour tension","availability-controlled meteorological increment and matched support across information conditions","scientific comparison","YES for NAQFC system","UNKNOWN","NO","HIGH"
5,E03,"FuXi-Air 2026, air-quality forecasting based on emission-meteorology-pollutant multimodal machine learning","Ablates meteorology/emissions/station information and evaluates PM2.5/PM10 and peak behaviour","meteorology improves error metrics and can affect peak/smoothing behaviour","explicit issue-time-safe operational meteorology versus retrospective meteorology comparison","scientific comparison","NO/UNKNOWN for station predictor provenance","YES/PARTIAL via ERA5 in comparisons","NO","HIGH"
6,E09,"CAMS Regional European air-quality forecast technical documentation","Documents operational cycles, forecast lead times and expected product availability","the existence of an operational atmospheric-composition forecasting system","an empirical station-level forecast-origin provenance audit and matched P3 comparison","data/provenance layer that could support a scientific comparison","YES at system level","NO","NO","MEDIUM"
7,E10,"Aurora 1.5 and Aurora Air Pollution official documentation","Distinguishes a weather model driven by IFS HRES T0 from an air-pollution model using CAMS analysis","use of atmospheric forecast/analysis products in environmental prediction","historical 2020--2023 issue-time/latency reconstruction for station-level PM forecasts","provenance requirement, not an existing P3 result","PARTIAL/UNCERTAIN","Aurora Air Pollution uses CAMS analysis; Aurora 1.5 uses IFS-based inputs","NO","MEDIUM"
8,E04,"Alvarado et al. 2019, Forecasting short-term peak concentrations from PM2.5 instruments using boosted gradient machines","Uses meteorology/precursor states for short-term peak forecasting and event-oriented evaluation","meteorology plus event/peak representation","availability-controlled information-condition comparison on common support","scientific comparison","UNKNOWN","UNKNOWN","NO","MEDIUM"
9,E07,"A Novel Application of Choquet Integral for Multi-Model Fusion in Urban PM10 Forecasting","Near-real-time/short-horizon PM10 fusion with meteorological features","PM10 forecasting with meteorological predictors","origin-time provenance audit and retrospective-versus-operational comparison","scientific comparison if empirical conclusion changes","UNKNOWN","UNKNOWN","NO","MEDIUM"
10,E06,"X2-AQFormer 2026, multi-day air-quality forecasting with meteorological and event drivers","Multi-day multimodal forecasting with meteorological drivers and event-oriented interpretation","meteorological predictors and event relevance in multi-horizon AQ forecasting","strict information-condition control and matched operational availability provenance","scientific comparison","UNKNOWN","UNKNOWN","NO","MEDIUM"
