study_id,citation,pollutant,location,forecast_horizons,pollutant_lags,meteorology_used,meteorology_type,observed_meteorology,forecast_meteorology,future_observed_meteorology,availability_at_origin_verified,issue_time_recorded,forecast_cycle_recorded,rolling_origin,train_only_preprocessing,persistence_baseline,horizonwise_skill,predictability_horizon,dynamic_fidelity,variance_retention,event_metrics,rank_reversal,information_condition_comparison,operational_vs_retrospective_comparison,directly_closes_P3_gap,evidence_source,confidence,notes
P3_V2_LAGS_ONLY_2026,"P3 multistation PM10 benchmark, lags-only phase 3",PM10,"323 Spanish MITECO stations","1..7",YES,NO,NONE,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,"p4_v2 protocol freeze, Phase 3 manifest and source tables",HIGH,"Current controlled benchmark establishes the common-support lags-only reference but contains no meteorological arm."
P3_E2_MET_MADRID_LEGACY,"Meteorological predictors and the useful forecast horizon (H*) for PM10: Madrid arm",PM10,"Casa de Campo, Madrid","1..24",YES,YES,observed_concurrent,YES,NO,PARTIAL,NO,NO,NO,YES,PARTIAL,YES,YES,YES,PARTIAL,UNKNOWN,NO,YES,NO,PARTIAL,NO,"P3_Madrid_Ireland README, Madrid run metadata and interpretation records",MEDIUM,"The lags-only versus lags-meteo comparison is retrospective/legacy; forecast-origin availability metadata is not verified."
P3_E2_MET_IRELAND_LEGACY,"Meteorological predictors and the useful forecast horizon (H*): Ireland arm",PM10,"8 Irish monitoring stations","1..24",YES,YES,observed_concurrent,YES,NO,PARTIAL,NO,NO,NO,YES,PARTIAL,YES,YES,PARTIAL,UNKNOWN,NO,NO,YES,NO,PARTIAL,NO,"P3_Madrid_Ireland Ireland run metadata, protocol and interpretation records",MEDIUM,"The original dataset and prediction files are not fully recoverable; the documented arm is explicitly retrospective."
P3_OP_01_CONTRACT,"P3-OP-01 meteorological availability contract",PM10,UNKNOWN,UNKNOWN,UNKNOWN,YES,retrospective_plus_operational,YES,YES,YES,PARTIAL,PARTIAL,PARTIAL,YES,YES,YES,NO,NO,NO,NO,NO,YES,PARTIAL,NO,NO,"P3_Madrid_Ireland/docs/P3_OP_01_METEOROLOGICAL_AVAILABILITY_CONTRACT.md",MEDIUM,"This is a protocol contract, not an executed comparison; it specifies issue time, cycle, latency and spatial metadata requirements."
P4_PHASE3_DYNAMIC_FIDELITY,"P4/P3 dynamic-fidelity and ghost-skill diagnostic line",PM10,"Spanish PM10 benchmark(s)","1..7",YES,NO,NONE,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,"P4 canon, legacy Paper A materials and Phase 3 source tables",HIGH,"It covers error-fidelity/event disagreement without meteorological information-condition comparison; it is a diagnostic overlap, not P3 meteorology novelty."
Donnelly2015,"Donnelly et al. 2015, Real time air quality forecasting using integrated parametric and non-parametric regression techniques",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,"P4 references.bib only",LOW,"Bibliographic presence is not enough to verify meteorological availability, rolling origins or operational forecast metadata."
Bai2018,"Bai et al. 2018, Air pollutants concentrations forecasting using back propagation neural network based on wavelet decomposition with meteorological conditions",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,"P1 references.bib only",LOW,"The title establishes meteorological predictors but not the P3 availability-controlled comparison."
Hong2024,"Hong 2024, Meteorological variability and predictive forecasting of atmospheric particulate pollution",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,"P1 references.bib only",LOW,"The corpus contains citation metadata only; all protocol fields remain unverified."
Czernecki2021,"Czernecki et al. 2021, Assessment of Machine Learning Algorithms in Short-term Forecasting of PM10 and PM2.5 Concentrations",PM10/PM2.5,Polish agglomerations,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,"P1 references.bib only",LOW,"Relevant pollutant/model assessment, but no corpus evidence for availability-separated meteorology."
Bertrand2023,"Bertrand et al. 2023, Improving the European air quality forecast of CAMS using machine learning techniques",air quality,Europe,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,"P1 references.bib only",LOW,"CAMS is present in the citation title/context, but meteorological issue-time and predictor availability are not verified in this corpus."
