claim_id,claim_text,claim_type,evidence_file,source_columns,script,commit,status,limitation
A1,"Direct HGB and direct Ridge achieve positive persistence-relative RMSE skill in all 119 station-horizon cells while collapsing forecast variance (alpha<0.5) in 118/119 cells each.",EMPIRICAL,outputs/tables/model_family_diagnostic_summary.csv,"positive_skill_cells;collapsed_cells;collapse_rate_pct",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"variance ratio diagnostic, ddof=0; two h=1 point-estimate exceptions (Huesca HGB 0.544, Barcelona Ridge 0.502)"
A2,"SARIMA reproduces the skill-with-collapse pattern: positive median RMSE skill (0.208) with collapse in 110/119 cells (92.4%).",EMPIRICAL,outputs/tables/model_family_diagnostic_summary.csv,"median_skill;collapsed_cells;collapse_rate_pct",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"sparse-origin design; median over 119 cells"
A3,"Seasonal naive preserves variance (0/119 collapsed, median alpha approx 1.000) but has slightly negative median RMSE skill (-0.026).",EMPIRICAL,outputs/tables/model_family_diagnostic_summary.csv,"collapsed_cells;median_alpha;median_skill",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"naive reference, not a predictive model"
A4,"STL+Ridge preserves or inflates variance (median alpha 1.399) but has strongly negative median RMSE skill (-1.107) and is significantly worse than persistence in all cells under BH-adjusted DM.",EMPIRICAL,outputs/tables/model_family_diagnostic_summary.csv,"median_alpha;median_skill;sig_deg_cells",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"control case; amplitude necessary but not sufficient"
A5,"Variance retention alpha(h)=Var(y_hat)/Var(y) is a post-evaluation diagnostic complementary to RMSE-based skill; positive RMSE skill can coexist with variance collapse (dynamic-fidelity loss).",METHODOLOGICAL,outputs/tables/variance_retention_summary.csv,"alpha;skill;collapse_flag",src/diagnostics/variance.py,4b7cc95,SUPPORTED,"diagnostic convention, not a formal loss criterion"
A6,"Skill_VP(h)=Skill(h)*alpha(h) is a bounded auxiliary that down-weights nominal RMSE skill under variance collapse.",METHODOLOGICAL,outputs/tables/model_family_diagnostic_summary.csv,"median_skill_vp",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"reported as auxiliary, not a replacement metric"
A7,"No non-naive evaluated model attains any near-ideal cell (Skill>0 and alpha>=0.8): HGB, Ridge, SARIMA, STL+Ridge each 0/119.",EMPIRICAL,outputs/tables/model_family_diagnostic_summary.csv,"near_ideal_cells",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"near-ideal band [0.8,1.2] is a convention"
A8,"The variance-collapse conclusion is robust to the alpha threshold (near-universal collapse for HGB/Ridge across alpha<0.4, <0.5, <0.6).",EMPIRICAL,outputs/tables/*,"threshold sensitivity",scripts/06_threshold_sensitivity.py,4b7cc95,SUPPORTED,"threshold is diagnostic, not physical"
A9,"alpha is a variance ratio Var(y_hat)/Var(y), not a standard-deviation ratio; 14/14 audited cells match the variance ratio and 0/14 the SD ratio.",METHODOLOGICAL,audit/paper_a_alpha_var_sd/before_after.csv,"alpha_before;alpha_after",audit/paper_a_alpha_var_sd/test_alpha_var_vs_sd.py,4b7cc95,SUPPORTED,"precision correction to the manuscript text; no reported number changed"
A10,"Positive persistence-relative RMSE skill can decouple from dynamic fidelity: skilful daily PM10 point forecasts can be dynamically over-smoothed.",INTERPRETIVE,outputs/tables/model_family_diagnostic_summary.csv,"median_skill;median_alpha;collapse_rate_pct",scripts/13_build_five_model_diagnostic_summary.py,4b7cc95,SUPPORTED,"interpretation of the joint skill-alpha pattern; not a causal claim"
