check,figure5_scatter_skill_alpha,figure_skill_alpha_five_models,notes
script,scripts/generate_figures_3_to_6.py (figure5_skill_alpha),scripts/14_generate_skill_alpha_figure.py,"Ambos scripts ya tenian el rotulo corregido a Var/Var desde el commit 9455e41 (tarea P3-11R), heredado por esta rama"
source_csv,evidence/paper_a/aggregates/variance_retention_all_stations.csv,evidence/paper_a/aggregates/master_diagnostic_table.csv,Ambos derivados del mismo dataset row-level validado
source_csv_sha256,5cb0c3a4240962b2fbe3a9ba11ebaf2e633fe7bca95ade32a506c0a34a28318d,6dfb12c5a8a1c2263ecfad71e441cd2af6f451c9b73ba9049b1986eaeee62af6,Identicos a los hashes registrados en provenance_manifest.csv
old_pdf_sha256,781515d4e3756941bfc4fdfa7f7298cd0807db4a77fc9bcf7cb68140d19ed2d1,21315671a928eea1549142750ede9acfe84846f335c958664b93a7a11dd9a215,"figure_skill_alpha_five_models.pdf no estaba en el repo principal como version 'antigua correcta'; el hash 'old' aqui es la version encontrada en la copia recuperada de investigacion (script antiguo distinto, ver P3-11R Fase J); no se usa para comparacion pixel"
new_pdf_sha256,af25c156f0c717edd26871300ddbc5800dd1879c667f5ef3b29bffc65f61d0f7,(ver outputs/figures/figure_skill_alpha_five_models.pdf tras regeneracion),Regenerado en esta tarea dentro del worktree /tmp/p3-12r-consolidation
n_models,5,5,hgb_direct;ridge_direct;sarima;seasonal_naive;stl_ridge_direct
n_points,595 (marcadores tenues de fondo) + 35 puntos de trayectoria mediana (5 modelos x 7 horizontes),595,Sin cambios respecto al conteo esperado (17 estaciones x 5 modelos x 7 horizontes)
old_label,"Variance Retention Coefficient ($\alpha = s_{\hat{y}} / s_{y}$)",igual (mismo bug, ya corregido en script),Notacion SD/SD incorrecta
new_label,"Variance Retention Coefficient ($\alpha = \mathrm{Var}(\hat{y}) / \mathrm{Var}(y)$)",Variance Retention Coefficient (alpha = Var(y_hat)/Var(y)),"Confirmado por extraccion de texto (pdftotext) del PDF regenerado: 'Variance Retention Coefficient (α = Var(y)/Var(y))' (el circunflejo se extrae como caracter separado, limitacion de pdftotext con mathtext, no del PDF)"
data_changed,false,false,"Mismo CSV fuente (mismo SHA-256) usado para el PDF actualmente publicado y para el regenerado en este worktree; unica diferencia de codigo entre ambos renders es la cadena de texto del rotulo del eje X"
max_abs_coordinate_difference,0 (mismos datos de entrada; no se recalculo ninguna coordenada, solo se re-renderizo el mismo dataframe),0,"No aplica recalculo numerico: la figura consume alpha/skill ya presentes en el CSV validado, sin transformacion adicional"
visual_change_scope,axis_label_only,axis_label_only,"Inspeccion visual lado-a-lado (renders PNG a 150dpi) confirma: mismos puntos, mismas trayectorias h=1..7, mismos cuadrantes I-IV, misma leyenda, mismos colores/marcadores por modelo, misma banda near-ideal [0.8,1.2]. Diff de pixeles brutos ~2.8% atribuible a un desplazamiento sub-pixel global del bounding box 'tight' (el nuevo rotulo tiene un ancho de texto ligeramente distinto: PDF 1417x1193pt vs 1420x1192pt), no a cambio de contenido."
status,PASS,PASS,"Ambas figuras regeneradas correctamente con datos identicos y rotulo Var/Var corregido; guardadas en outputs/p3_12r_artifact_consolidation/before/ y after/ (solo figure5_scatter_skill_alpha, la citada en paper_a.tex)"
